name,lon,lat
Xiromero,21.11139485,38.61952371
Zacharo,21.72627333,37.46334272
Agrafa,21.57810185,39.07229895
Aliartos,23.08883362,38.35920968
Amfikleia-Elateia,22.67365881,38.64150163
Chalcis,23.55914774,38.44870897
Delphi,22.38296509,38.55393271
Dirfys-Messapia,23.71693464,38.61048694
Distomo-Arachova-Antikyra,22.63779846,38.45740143
Domokos,22.32196032,39.10517395
Dorida,22.10572991,38.51928463
Eretria,23.87420265,38.4542453
Istiaia-Aidipsos,23.15719893,38.92455036
Karpenisi,21.76813954,38.87496002
Karystos,24.37256196,38.10158537
Kymi-Aliveri,24.07370839,38.48746346
Lamia,22.36576754,38.86384853
Livadeia,22.83429384,38.41057485
Lokroi,23.08807363,38.6171778
Makrakomi,22.03765269,38.91824154
Mantoudi-Limni-Agia Anna,23.42271231,38.80258332
Molos-Agios Konstantinos,22.72878706,38.75342984
Orchomenus,23.10178277,38.48981359
Skyros,24.54852222,38.86167651
Stylida,22.72464617,38.95312029
Tanagra,23.52988393,38.26192938
Thebes,23.20519272,38.30021864
Agia,22.75093133,39.70817716
Almyros,22.74265683,39.11410115
Alonnisos,24.00196673,39.24573834
Argithea,21.48422437,39.29033206
Elassona,22.14960475,39.94339984
Farkadona,22.027638,39.60183167
Farsala,22.43597999,39.30239722
Kalambaka,21.51254406,39.73164062
Karditsa,21.88474612,39.26897596
Kileler,22.51136797,39.51853212
Lake Plastiras,21.72509499,39.30101968
Larissa,22.33436871,39.61911183
Mouzaki,21.71518836,39.40526666
Palamas,22.07843555,39.47277479
Pyli,21.43711173,39.47839568
Rigas Feraios,22.81012538,39.43446279
Skiathos,23.45788907,39.16738361
Skopelos,23.69037059,39.12912009
Sofades,22.08417556,39.23474863
South Pelion,23.20795961,39.23156018
Tempi,22.54599866,39.83969469
Trikala,21.77003458,39.60921828
Tyrnavos,22.29454414,39.76558881
Volos,22.90608268,39.35504702
Zagora-Mouresi,23.09775536,39.43370396
